Category: All categories,
,
Week,learn java: (Worldwide)
2013-06-23,62
2013-06-30,68
2013-07-07,65
2013-07-14,63
2013-07-21,71
2013-07-28,71
2013-08-04,70
2013-08-11,58
2013-08-18,61
2013-08-25,64
2013-09-01,62
2013-09-08,53
2013-09-15,59
2013-09-22,71
2013-09-29,65
2013-10-06,62
2013-10-13,70
2013-10-20,69
2013-10-27,62
2013-11-03,60
2013-11-10,71
2013-11-17,66
2013-11-24,61
2013-12-01,60
2013-12-08,79
2013-12-15,72
2013-12-22,66
2013-12-29,72
2014-01-05,65
2014-01-12,84
2014-01-19,82
2014-01-26,71
2014-02-02,72
2014-02-09,86
2014-02-16,80
2014-02-23,82
2014-03-02,68
2014-03-09,67
2014-03-16,70
2014-03-23,71
2014-03-30,73
2014-04-06,66
2014-04-13,61
2014-04-20,73
2014-04-27,61
2014-05-04,69
2014-05-11,68
2014-05-18,70
2014-05-25,87
2014-06-01,84
2014-06-08,79
2014-06-15,89
2014-06-22,73
2014-06-29,82
2014-07-06,95
2014-07-13,80
2014-07-20,82
2014-07-27,66
2014-08-03,85
2014-08-10,77
2014-08-17,81
2014-08-24,75
2014-08-31,84
2014-09-07,83
2014-09-14,81
2014-09-21,75
2014-09-28,66
2014-10-05,66
2014-10-12,64
2014-10-19,76
2014-10-26,68
2014-11-02,73
2014-11-09,79
2014-11-16,71
2014-11-23,69
2014-11-30,76
2014-12-07,78
2014-12-14,78
2014-12-21,76
2014-12-28,74
2015-01-04,76
2015-01-11,76
2015-01-18,89
2015-01-25,67
2015-02-01,77
2015-02-08,86
2015-02-15,80
2015-02-22,74
2015-03-01,81
2015-03-08,72
2015-03-15,79
2015-03-22,76
2015-03-29,77
2015-04-05,76
2015-04-12,79
2015-04-19,80
2015-04-26,72
2015-05-03,83
2015-05-10,81
2015-05-17,81
2015-05-24,87
2015-05-31,85
2015-06-07,100
2015-06-14,80
2015-06-21,93
2015-06-28,86
2015-07-05,88
2015-07-12,81
2015-07-19,82
2015-07-26,79
2015-08-02,79
2015-08-09,84
2015-08-16,75
2015-08-23,85
2015-08-30,81
2015-09-06,75
2015-09-13,75
2015-09-20,80
2015-09-27,76
2015-10-04,72
2015-10-11,76
2015-10-18,72
2015-10-25,69
2015-11-01,68
2015-11-08,72
2015-11-15,67
2015-11-22,59
2015-11-29,66
2015-12-06,71
2015-12-13,77
2015-12-20,76
2015-12-27,68
2016-01-03,72
2016-01-10,57
2016-01-17,68
2016-01-24,62
2016-01-31,62
2016-02-07,60
2016-02-14,72
2016-02-21,72
2016-02-28,68
2016-03-06,57
2016-03-13,68
2016-03-20,71
2016-03-27,59
2016-04-03,62
2016-04-10,59
2016-04-17,64
2016-04-24,48
2016-05-01,61
2016-05-08,63
2016-05-15,64
2016-05-22,68
2016-05-29,64
2016-06-05,63
2016-06-12,81
2016-06-19,77
2016-06-26,76
2016-07-03,64
2016-07-10,61
2016-07-17,67
2016-07-24,60
2016-07-31,66
2016-08-07,60
2016-08-14,63
2016-08-21,62
2016-08-28,70
2016-09-04,69
2016-09-11,61
2016-09-18,58
2016-09-25,70
2016-10-02,60
2016-10-09,61
2016-10-16,71
2016-10-23,58
2016-10-30,63
2016-11-06,62
2016-11-13,66
2016-11-20,56
2016-11-27,60
2016-12-04,56
2016-12-11,66
2016-12-18,66
2016-12-25,59
2017-01-01,77
2017-01-08,73
2017-01-15,66
2017-01-22,73
2017-01-29,65
2017-02-05,78
2017-02-12,63
2017-02-19,63
2017-02-26,72
2017-03-05,65
2017-03-12,56
2017-03-19,69
2017-03-26,76
2017-04-02,69
2017-04-09,68
2017-04-16,72
2017-04-23,61
2017-04-30,64
2017-05-07,67
2017-05-14,69
2017-05-21,54
2017-05-28,69
2017-06-04,64
2017-06-11,64
2017-06-18,57
2017-06-25,77
2017-07-02,63
2017-07-09,67
2017-07-16,69
2017-07-23,63
2017-07-30,67
2017-08-06,61
2017-08-13,50
2017-08-20,56
2017-08-27,61
2017-09-03,62
2017-09-10,62
2017-09-17,72
2017-09-24,60
2017-10-01,54
2017-10-08,65
2017-10-15,56
2017-10-22,60
2017-10-29,56
2017-11-05,57
2017-11-12,58
2017-11-19,52
2017-11-26,56
2017-12-03,60
2017-12-10,62
2017-12-17,59
2017-12-24,62
2017-12-31,64
2018-01-07,56
2018-01-14,67
2018-01-21,59
2018-01-28,65
2018-02-04,52
2018-02-11,54
2018-02-18,57
2018-02-25,45
2018-03-04,51
2018-03-11,61
2018-03-18,54
2018-03-25,53
2018-04-01,44
2018-04-08,50
2018-04-15,56
2018-04-22,53
2018-04-29,43
2018-05-06,47
2018-05-13,55
2018-05-20,63
2018-05-27,60
2018-06-03,58
2018-06-10,56
